TEAM,CONF,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,SEED,YEAR,WIN_PCT
Utah,P12,114.9,88.7,0.9513,55.2,43.0,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,5.0,2015,0.7352941176470589
Arizona,P12,117.6,95.6,0.9157,53.7,47.7,16.6,17.4,33.2,26.0,40.5,28.6,51.5,48.4,39.0,31.0,67.1,2.0,2017,0.8648648648648649
UCLA,P12,122.8,99.6,0.9175,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,74.6,3.0,2017,0.8611111111111112
Oregon,P12,108.1,91.7,0.8687,52.0,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29.0,65.4,12.0,2019,0.6578947368421053
Texas A&M,SEC,113.0,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,3.0,2016,0.7567567567567568
Kentucky,SEC,115.8,95.6,0.9,51.8,46.8,18.6,16.8,35.7,31.0,44.0,32.3,51.2,48.0,35.7,30.1,70.0,5.0,2018,0.7027027027027027
Texas A&M,SEC,111.2,94.7,0.864,51.4,46.9,19.2,15.3,33.9,27.3,32.0,27.6,52.5,45.7,32.9,32.6,70.3,7.0,2018,0.6285714285714286
LSU,SEC,117.9,96.6,0.9081,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,3.0,2019,0.8
Tennessee,SEC,122.8,95.2,0.9488,55.3,48.1,15.8,18.0,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,2.0,2019,0.8611111111111112
Gonzaga,WCC,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26.0,34.4,28.1,54.3,44.4,37.8,30.3,68.2,11.0,2016,0.7714285714285715
Gonzaga,WCC,117.2,94.9,0.9192,57.0,47.1,16.1,17.4,33.0,23.1,32.1,29.1,58.2,44.1,36.8,35.0,70.5,4.0,2018,0.8648648648648649
Virginia,ACC,114.6,89.5,0.9449,50.8,44.2,16.5,18.4,33.9,25.8,42.0,32.5,49.0,42.1,36.9,32.3,61.2,1.0,2014,0.8108108108108109
Iowa St.,B12,118.6,98.8,0.8903,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46.0,35.8,34.1,71.6,3.0,2014,0.7777777777777778
Louisville,Amer,118.8,87.6,0.971,53.5,43.9,15.3,25.0,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,68.8,4.0,2014,0.8378378378378378
San Diego St.,MWC,109.4,90.7,0.896,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64.0,4.0,2014,0.8529411764705882
UCLA,P12,119.0,96.6,0.9167,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,53.0,48.6,38.0,34.4,70.2,4.0,2014,0.7567567567567568
Baylor,B12,119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32.0,44.8,32.3,48.3,46.4,38.0,35.6,62.9,6.0,2014,0.6666666666666666
Stanford,P12,111.7,96.5,0.8436,51.3,48.0,17.0,17.0,29.3,28.1,45.0,37.0,49.9,45.8,36.4,34.9,67.2,10.0,2014,0.6388888888888888
Tennessee,SEC,118.1,93.4,0.9374,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,11.0,2014,0.6388888888888888
Indiana,B10,121.0,89.7,0.9692,54.7,44.0,19.3,20.9,39.0,31.4,45.8,27.0,52.0,43.2,40.3,30.4,67.8,1.0,2013,0.8055555555555556
Kansas,B12,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,1.0,2013,0.8378378378378378
Miami FL,ACC,112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44.0,36.2,32.6,63.0,2.0,2013,0.8055555555555556
Michigan St.,B10,111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,3.0,2013,0.7428571428571429
Arizona,P12,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35.0,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,6.0,2013,0.7714285714285715
Oregon,P12,104.8,88.6,0.8728,49.3,46.4,21.4,22.0,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,12.0,2013,0.7567567567567568
La Salle,A10,112.0,96.2,0.8516,51.9,49.3,17.1,21.3,29.0,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66.0,13.0,2013,0.7058823529411765
Florida Gulf Coast,ASun,103.4,96.3,0.6952,51.6,46.9,21.0,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,15.0,2013,0.6857142857142857
Michigan,B10,118.1,91.1,0.9521,54.9,44.9,16.3,15.1,29.4,24.8,28.9,24.5,53.3,42.3,38.7,33.5,66.9,1.0,2021,0.8333333333333334
Baylor,B12,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27.0,31.7,54.1,48.1,41.8,34.0,68.8,1.0,2021,0.9166666666666666
Illinois,B10,117.7,90.4,0.9539,55.6,46.6,18.2,16.1,33.0,22.2,39.2,30.5,55.3,45.4,37.6,32.7,70.7,1.0,2021,0.7931034482758621
Gonzaga,WCC,125.4,89.8,0.9791,61.0,47.5,16.1,20.3,30.4,23.4,36.7,25.9,64.0,46.8,36.5,32.5,74.6,1.0,2021,1.0
Iowa,B10,123.5,95.7,0.9491,54.6,48.3,13.3,16.3,30.7,28.6,32.0,22.6,52.4,45.8,38.6,34.8,70.0,2.0,2021,0.7241379310344828
Ohio St.,B10,122.1,97.0,0.934,53.1,48.9,15.3,15.0,29.1,27.4,37.6,33.8,52.1,47.4,36.5,34.1,66.9,2.0,2021,0.7
Houston,Amer,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28.0,30.7,42.4,49.9,43.0,35.5,28.5,65.0,2.0,2021,0.9230769230769231
Alabama,SEC,111.0,88.1,0.9343,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,73.9,2.0,2021,0.8
West Virginia,B12,115.9,95.3,0.9046,48.7,50.2,17.0,20.7,35.6,31.3,39.4,28.5,46.4,51.3,35.7,32.3,69.6,3.0,2021,0.6666666666666666
Texas,B12,113.8,93.5,0.9058,52.9,46.7,20.2,17.8,31.3,26.9,34.0,36.7,52.4,45.8,35.7,32.3,69.1,3.0,2021,0.7307692307692307
Kansas,B12,108.5,90.0,0.8964,49.8,47.0,17.7,20.0,30.9,26.9,30.5,26.5,49.3,45.9,33.8,32.6,68.2,3.0,2021,0.7407407407407407
Arkansas,SEC,110.4,91.2,0.8997,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,73.1,3.0,2021,0.7857142857142857
Florida St.,ACC,117.8,94.0,0.9305,54.4,46.5,20.1,19.6,35.4,31.4,32.7,36.3,52.1,44.2,39.0,33.3,70.4,4.0,2021,0.7272727272727273
Virginia,ACC,114.6,93.9,0.9079,56.1,47.9,15.4,15.2,23.1,22.6,22.0,24.6,55.3,46.1,38.1,34.0,59.9,4.0,2021,0.75
Purdue,B10,112.4,92.9,0.8994,51.4,48.6,18.7,16.9,32.2,24.1,32.2,30.3,52.1,49.7,33.5,31.5,66.6,4.0,2021,0.6666666666666666
Oklahoma St.,B12,109.3,92.3,0.875,52.1,47.2,21.4,19.3,31.9,30.2,36.4,30.5,52.8,46.9,33.8,31.7,71.6,4.0,2021,0.7142857142857143
Villanova,BE,117.9,96.7,0.9076,52.8,51.8,13.5,19.0,27.9,24.8,30.0,25.8,52.8,51.0,35.2,35.4,65.1,5.0,2021,0.7272727272727273
Tennessee,SEC,108.8,89.2,0.9072,50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,49.8,44.8,33.8,31.8,66.9,5.0,2021,0.6923076923076923
Creighton,BE,114.4,94.3,0.9025,55.7,46.9,15.8,17.8,24.8,28.2,26.9,25.7,56.3,46.1,36.7,32.1,69.1,5.0,2021,0.7142857142857143
Colorado,P12,113.7,93.5,0.9045,52.0,47.7,16.8,19.8,30.9,25.6,29.9,28.0,50.3,46.5,36.7,33.3,66.3,5.0,2021,0.7333333333333333
Texas Tech,B12,112.3,92.2,0.9057,49.7,47.9,16.2,23.8,33.8,29.7,39.3,36.4,48.7,44.8,34.7,35.1,65.7,6.0,2021,0.6296296296296297
BYU,WCC,112.8,93.3,0.8991,55.0,46.6,19.0,16.0,28.6,23.3,27.8,29.4,54.5,45.5,37.3,32.4,68.2,6.0,2021,0.8
USC,P12,112.0,92.0,0.9052,52.1,45.4,18.1,17.4,35.7,27.3,37.5,24.8,52.1,42.2,34.8,34.2,67.2,6.0,2021,0.7586206896551724
San Diego St.,MWC,111.1,90.0,0.9191,52.7,46.7,16.9,22.5,29.9,24.4,34.3,32.7,50.5,44.6,37.5,32.8,66.0,6.0,2021,0.8846153846153846
Florida,SEC,110.6,93.4,0.8748,52.5,47.5,20.7,20.5,30.7,31.5,33.8,34.8,51.9,48.4,35.7,30.6,68.6,7.0,2021,0.6086956521739131
Connecticut,BE,114.6,92.8,0.9188,49.5,46.2,17.6,19.6,36.9,29.8,29.6,36.9,49.0,45.6,33.6,31.6,65.7,7.0,2021,0.6818181818181818
Clemson,ACC,105.9,91.9,0.8374,50.4,48.7,19.5,21.6,26.6,26.6,23.6,29.6,49.2,47.5,34.6,33.7,64.4,7.0,2021,0.6956521739130435
Oregon,P12,113.1,98.2,0.835,54.4,50.1,16.8,20.3,28.3,27.2,26.8,27.1,52.9,49.9,37.9,33.6,67.2,7.0,2021,0.7692307692307693
Oklahoma,B12,111.0,94.5,0.8642,50.8,48.9,15.8,18.7,27.3,27.5,29.1,22.8,50.8,46.3,33.8,35.4,67.6,8.0,2021,0.6
North Carolina,ACC,108.8,91.6,0.8777,48.5,48.7,20.5,19.3,41.2,26.3,34.9,27.1,48.9,46.8,31.7,34.4,71.8,8.0,2021,0.6428571428571429
LSU,SEC,119.3,99.8,0.8868,52.8,48.5,16.1,18.4,31.5,32.8,33.9,29.1,53.0,51.3,35.0,30.0,70.4,8.0,2021,0.6666666666666666
Loyola Chicago,MVC,108.5,88.3,0.9136,56.3,46.7,18.5,21.6,26.0,21.0,30.7,22.4,58.0,45.5,35.7,32.5,63.9,8.0,2021,0.9230769230769231
St. Bonaventure,A10,111.1,92.9,0.8864,50.5,45.5,16.9,19.5,33.6,28.4,27.8,28.3,49.3,45.1,35.4,30.6,64.7,9.0,2021,0.8
Missouri,SEC,111.3,95.0,0.8599,50.9,48.5,18.9,18.4,28.6,29.2,37.5,36.4,52.6,48.3,32.0,32.7,68.6,9.0,2021,0.64
Wisconsin,B10,111.3,90.4,0.9163,49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,46.3,47.1,36.0,33.0,65.0,9.0,2021,0.5862068965517241
Georgia Tech,ACC,113.0,94.8,0.882,53.9,52.2,15.9,22.7,24.8,29.7,29.0,28.9,54.8,50.7,34.9,36.7,67.7,9.0,2021,0.68
Rutgers,B10,106.7,91.9,0.847,50.2,47.7,16.4,18.9,27.4,29.1,27.7,33.2,51.9,47.4,31.1,32.1,67.8,10.0,2021,0.5769230769230769
Virginia Tech,ACC,109.3,94.5,0.8426,52.5,48.4,17.3,17.6,28.4,24.3,33.2,30.9,51.7,47.6,35.7,33.0,66.5,10.0,2021,0.7142857142857143
Maryland,B10,110.0,93.0,0.8735,52.6,48.5,16.8,16.9,20.9,24.8,32.6,25.6,52.8,46.4,34.9,34.3,65.4,10.0,2021,0.5714285714285714
VCU,A10,104.6,89.7,0.854,50.9,45.8,20.6,23.5,28.3,31.3,34.0,35.4,51.7,45.9,32.9,30.5,70.0,10.0,2021,0.7307692307692307
Michigan St.,B10,105.8,93.5,0.8054,47.9,47.8,18.9,15.4,30.4,26.1,31.4,37.1,47.8,48.1,32.0,31.5,68.7,11.0,2021,0.5555555555555556
Wichita St.,Amer,109.6,98.1,0.7823,47.6,47.1,15.9,18.1,29.8,33.4,38.2,29.7,44.7,47.6,34.5,30.8,67.5,11.0,2021,0.8421052631578947
Syracuse,ACC,112.8,97.6,0.8402,50.7,48.5,16.0,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,11.0,2021,0.64
UCLA,P12,112.3,97.5,0.835,52.0,50.7,16.6,17.6,30.4,24.4,32.6,28.0,50.6,49.4,36.7,35.1,64.7,11.0,2021,0.6538461538461539
Utah St.,MWC,105.2,90.0,0.8569,49.8,45.6,19.7,19.7,35.3,21.3,29.4,26.1,49.6,42.9,33.6,33.0,69.0,11.0,2021,0.7407407407407407
Drake,MVC,111.8,101.6,0.7508,54.5,48.4,15.2,18.8,31.6,24.9,25.2,29.7,54.4,49.7,36.6,30.8,66.7,11.0,2021,0.9259259259259259
Georgetown,BE,108.5,93.2,0.8516,49.6,48.0,21.7,16.2,32.4,27.3,30.3,25.9,46.1,47.4,36.6,32.6,69.5,12.0,2021,0.52
Oregon St.,P12,108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34.0,38.2,46.9,52.5,34.6,31.4,65.1,12.0,2021,0.6071428571428571
UC Santa Barbara,BW,107.9,97.6,0.7615,53.0,47.7,16.5,20.8,28.2,24.5,35.5,28.0,53.4,46.6,34.8,33.4,65.8,12.0,2021,0.9166666666666666
Winthrop,BSth,104.2,96.9,0.6975,53.0,49.0,19.5,22.5,35.6,22.2,35.7,33.8,53.0,49.2,35.3,32.4,73.8,12.0,2021,0.9583333333333334
Ohio,MAC,111.9,100.7,0.7715,55.8,51.1,17.0,20.0,28.7,27.4,29.6,30.2,56.4,51.6,36.6,33.7,69.3,13.0,2021,0.7272727272727273
North Texas,CUSA,104.4,94.6,0.7578,54.0,45.7,20.4,21.4,27.9,26.9,27.2,31.7,52.9,44.8,37.3,31.6,63.3,13.0,2021,0.68
UNC Greensboro,SC,102.3,97.5,0.6353,48.2,48.1,15.6,21.0,32.4,25.9,23.8,36.4,50.3,48.3,30.0,31.9,68.3,13.0,2021,0.7241379310344828
Liberty,ASun,109.1,101.5,0.6969,57.4,48.0,15.6,17.3,23.1,22.4,25.5,29.6,56.8,47.8,38.8,32.2,63.4,13.0,2021,0.9583333333333334
Colgate,Pat,110.8,100.0,0.7641,57.1,45.7,13.8,16.6,27.9,25.6,31.1,25.1,55.4,49.5,40.2,26.1,71.9,14.0,2021,0.9333333333333333
Eastern Washington,BSky,107.7,101.1,0.6729,54.1,47.5,16.5,16.5,23.9,25.8,30.4,27.7,54.2,47.6,35.9,31.6,72.2,14.0,2021,0.7272727272727273
Abilene Christian,Slnd,101.8,94.7,0.6977,52.9,45.4,19.4,26.7,30.6,27.9,34.0,42.5,50.8,46.3,37.7,29.1,70.0,14.0,2021,1.0
Morehead St.,OVC,99.3,96.7,0.5778,51.9,47.0,22.9,18.0,31.3,24.9,36.8,23.1,51.8,47.6,34.7,30.7,65.6,14.0,2021,0.8214285714285714
Iona,MAAC,101.1,99.5,0.545,51.2,45.6,22.4,19.6,33.4,26.1,36.1,46.3,49.9,45.8,35.5,30.1,68.5,15.0,2021,0.7058823529411765
Oral Roberts,Sum,107.0,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33.0,27.8,33.1,49.7,49.0,38.8,35.6,71.4,15.0,2021,0.6956521739130435
Grand Canyon,WAC,102.7,96.0,0.6852,53.0,44.9,20.4,16.6,32.4,22.6,34.7,29.6,55.7,44.9,32.2,29.9,65.4,15.0,2021,0.85
Cleveland St.,Horz,99.9,100.7,0.4785,50.6,48.9,18.5,20.2,30.9,31.8,31.9,37.2,52.1,50.9,31.9,30.8,66.2,15.0,2021,0.7307692307692307
Drexel,CAA,107.9,105.0,0.5768,54.3,49.6,19.6,16.4,29.4,24.3,28.5,27.2,53.5,50.4,37.2,32.1,64.4,16.0,2021,0.631578947368421
Mount St. Mary's,NEC,95.7,100.6,0.3593,48.7,45.5,20.1,16.3,31.7,24.6,29.7,24.6,47.7,45.6,33.7,30.1,62.2,16.0,2021,0.5454545454545454
Hartford,AE,97.3,99.6,0.4345,50.4,47.6,19.0,20.4,24.8,28.6,28.6,25.0,51.3,50.7,32.7,28.7,66.9,16.0,2021,0.6521739130434783
Norfolk St.,MEAC,99.4,104.1,0.3698,49.7,47.4,17.8,20.7,28.8,28.7,38.6,42.0,46.1,47.2,37.4,31.7,67.9,16.0,2021,0.7619047619047619
Texas Southern,SWAC,97.3,103.5,0.3307,48.3,46.5,21.4,19.2,32.9,25.7,38.9,33.8,51.0,45.2,27.7,32.4,71.8,16.0,2021,0.6956521739130435
Appalachian St.,SB,99.0,104.4,0.3512,47.7,50.4,17.5,20.0,27.8,30.6,33.0,24.0,46.7,50.4,32.6,33.5,65.4,16.0,2021,0.7083333333333334
Howard,MEAC,95.8,114.2,0.118,51.1,53.5,18.5,12.6,20.4,31.2,37.1,27.1,50.4,55.9,34.6,33.9,70.8,,2021,0.2
South Carolina St.,MEAC,86.5,112.2,0.048,44.8,55.6,23.8,22.7,26.1,33.9,27.9,35.7,43.0,56.4,31.9,36.1,72.7,,2021,0.05555555555555555
Idaho,BSky,91.7,112.0,0.092,48.5,54.3,24.0,17.1,22.0,29.7,29.6,35.8,47.4,52.6,34.1,38.1,67.2,,2021,0.045454545454545456
Maine,AE,85.2,101.7,0.1155,45.1,48.7,25.0,20.7,23.3,30.3,27.2,30.9,43.4,50.2,31.5,30.9,65.8,,2021,0.2222222222222222
Fordham,A10,87.5,99.8,0.1818,41.4,51.5,20.8,19.2,19.2,30.4,27.5,27.8,42.2,52.8,26.9,33.4,63.5,,2021,0.14285714285714285
Denver,Sum,93.9,112.9,0.1075,49.8,55.8,20.9,19.0,22.0,26.1,34.1,43.0,48.6,53.8,34.8,39.3,70.9,,2021,0.1
Iowa St.,B12,100.4,100.8,0.4892,48.0,51.9,21.1,18.5,24.3,33.1,19.6,36.2,48.0,53.1,32.1,33.0,69.8,,2021,0.08333333333333333
Mississippi Valley St.,SWAC,80.0,120.8,0.0087,43.6,55.0,24.2,14.9,18.1,35.8,24.7,32.6,38.3,55.7,32.9,35.8,72.3,,2021,0.08333333333333333
San Diego,WCC,97.7,99.6,0.4442,46.4,53.3,18.1,18.2,20.9,25.6,25.6,33.8,46.8,51.2,30.4,38.5,70.2,,2021,0.21428571428571427
Northern Illinois,MAC,94.7,110.5,0.1442,44.4,54.7,20.2,16.8,32.6,31.3,23.9,33.8,42.8,52.0,32.4,39.0,65.8,,2021,0.15789473684210525
Delaware St.,MEAC,91.1,115.5,0.0614,45.7,54.7,22.3,18.7,26.3,32.3,29.8,45.5,45.0,55.6,31.1,35.5,73.4,,2021,0.17647058823529413
Charleston Southern,BSth,92.1,107.5,0.1441,46.5,50.7,23.6,17.6,27.4,31.3,30.1,34.4,46.4,50.3,31.1,34.3,69.8,,2021,0.15
American,Pat,97.9,105.3,0.3021,52.6,50.2,22.3,17.6,24.1,29.9,26.8,38.4,49.5,52.9,37.8,29.1,67.0,,2021,0.4
Lehigh,Pat,92.8,106.5,0.1696,47.1,53.2,18.2,16.9,24.9,23.8,27.9,32.8,47.0,52.3,31.6,36.6,69.7,,2021,0.26666666666666666
Binghamton,AE,97.1,110.5,0.1848,48.9,51.5,20.6,16.4,29.2,27.7,23.2,31.3,48.3,49.5,33.1,36.7,66.3,,2021,0.2222222222222222
Towson,CAA,99.1,111.3,0.207,45.4,52.6,18.4,16.0,34.1,30.4,33.4,29.3,46.2,49.3,28.9,38.3,65.9,,2021,0.2222222222222222
Alabama St.,SWAC,86.1,111.8,0.047,43.5,48.9,22.3,20.6,29.5,29.6,42.7,36.9,41.3,49.0,31.7,32.5,70.1,,2021,0.2222222222222222
Robert Morris,Horz,98.1,110.7,0.1992,50.5,54.6,19.0,18.7,29.5,33.5,26.1,34.6,48.3,52.4,36.5,38.9,67.0,,2021,0.2222222222222222
Boston College,ACC,103.3,102.3,0.5269,49.8,55.5,19.0,18.7,25.4,28.8,29.7,29.1,49.9,56.7,33.1,35.5,71.4,,2021,0.2
Tennessee St.,OVC,91.2,105.7,0.1551,47.0,50.9,20.9,22.1,24.8,30.6,32.7,44.5,49.1,50.9,28.8,34.0,71.0,,2021,0.18181818181818182
Cal Poly,BW,90.3,105.1,0.1495,44.5,50.6,20.3,18.2,22.0,29.9,29.5,36.5,42.9,49.1,31.5,35.7,66.9,,2021,0.17391304347826086
Arkansas Pine Bluff,SWAC,90.4,114.7,0.0603,43.2,54.1,22.5,18.4,27.2,32.2,38.6,38.3,41.9,51.2,30.8,40.0,67.9,,2021,0.16
Bucknell,Pat,99.9,108.2,0.2849,52.0,49.6,17.3,15.7,19.8,28.3,36.3,29.2,53.6,47.5,33.0,36.0,71.8,,2021,0.4166666666666667
North Carolina Central,MEAC,91.8,112.2,0.0901,46.9,51.0,21.4,20.8,26.4,33.6,34.5,38.3,45.3,50.9,33.1,34.2,66.0,,2021,0.38461538461538464
Temple,Amer,101.9,98.3,0.6029,46.7,47.3,19.5,16.0,25.9,28.1,38.9,31.7,43.8,44.8,34.2,34.3,68.3,,2021,0.3125
Holy Cross,Pat,99.4,107.9,0.2803,50.3,52.6,18.3,18.5,26.4,31.5,26.1,35.2,48.8,52.1,35.6,35.7,69.0,,2021,0.3125
George Washington,A10,101.0,105.5,0.3755,49.7,51.1,19.7,16.7,24.4,28.6,36.1,25.0,50.4,50.8,32.3,34.3,68.6,,2021,0.29411764705882354
DePaul,BE,98.9,94.3,0.6346,46.1,48.0,22.1,20.1,31.8,31.6,23.7,35.3,45.7,49.1,31.5,30.9,70.2,,2021,0.2631578947368421
Saint Joseph's,A10,101.0,104.0,0.4172,48.6,53.6,18.6,17.2,21.8,30.9,26.7,31.4,50.1,54.1,31.4,35.1,72.5,,2021,0.25
Western Michigan,MAC,95.6,102.9,0.2999,49.3,50.2,21.1,14.3,23.5,29.4,24.2,26.2,49.0,51.5,33.2,32.0,66.4,,2021,0.25
San Jose St.,MWC,96.9,110.1,0.1874,44.7,52.6,17.8,14.5,20.0,35.1,30.0,27.6,42.9,55.3,31.6,32.2,72.3,,2021,0.2631578947368421
Central Connecticut,NEC,92.8,110.3,0.1213,48.5,53.9,19.7,20.1,23.7,32.9,28.4,30.4,48.5,54.6,32.4,35.2,70.8,,2021,0.23809523809523808
USC Upstate,BSth,94.6,109.4,0.1584,49.0,53.7,20.8,18.7,24.0,29.6,29.8,35.2,47.7,54.6,33.9,34.7,68.7,,2021,0.22727272727272727
Middle Tennessee,CUSA,93.4,103.6,0.2323,45.3,53.0,21.6,19.8,24.7,26.1,24.8,28.8,43.1,55.6,32.5,32.0,69.5,,2021,0.22727272727272727
Kennesaw St.,ASun,90.3,104.2,0.1614,45.8,52.2,20.6,17.1,24.1,25.2,30.6,32.7,46.7,54.4,29.4,31.8,69.3,,2021,0.23809523809523808
Central Arkansas,Slnd,97.3,113.7,0.1421,49.3,53.9,23.9,15.4,28.9,28.5,32.4,28.8,46.8,51.7,36.0,38.2,71.4,,2021,0.21739130434782608
Texas A&M Corpus Chris,Slnd,90.2,108.5,0.1067,46.9,51.7,23.8,19.3,24.6,29.3,34.8,31.2,45.1,51.7,33.3,34.4,69.5,,2021,0.23809523809523808
Air Force,MWC,96.1,109.1,0.1891,52.1,57.4,22.6,21.8,15.3,35.4,30.9,32.8,54.1,59.1,33.0,36.6,63.1,,2021,0.2
Nebraska Omaha,Sum,93.1,107.0,0.1683,46.3,53.5,18.1,16.8,23.2,26.7,29.2,31.1,44.8,51.2,33.5,38.4,71.3,,2021,0.2
Washington,P12,101.4,102.5,0.4696,48.9,51.2,19.2,17.2,23.4,34.4,26.2,34.7,48.3,50.6,33.2,34.9,71.0,,2021,0.19230769230769232
Tennessee Tech,OVC,95.8,109.5,0.1776,50.1,54.8,22.6,18.1,26.5,27.8,27.0,26.7,51.6,56.0,32.1,35.3,69.2,,2021,0.18518518518518517
Alabama A&M,SWAC,85.4,104.7,0.0878,44.8,44.0,21.4,18.0,28.2,29.4,31.8,37.4,45.5,44.8,28.8,28.3,67.4,,2021,0.4
Cal St. Fullerton,BW,102.6,111.6,0.2758,51.2,54.9,17.6,18.6,24.9,29.1,35.6,27.8,48.1,52.5,38.0,39.7,71.7,,2021,0.4
Loyola MD,Pat,97.7,100.9,0.4088,51.1,49.3,20.2,19.3,31.3,25.6,35.4,33.4,53.4,47.7,30.6,34.7,67.8,,2021,0.35294117647058826
Long Beach St.,BW,97.4,104.0,0.3198,50.6,49.4,21.0,17.8,23.3,31.3,37.7,34.9,49.0,48.2,35.9,34.2,73.9,,2021,0.3333333333333333
Eastern Michigan,MAC,98.6,108.5,0.2493,46.7,58.7,17.1,19.1,24.2,31.6,26.9,28.2,47.2,58.5,30.6,39.2,68.1,,2021,0.4
Samford,SC,96.4,103.4,0.3076,47.9,52.8,21.1,18.4,28.9,25.0,27.1,37.9,51.3,53.1,28.3,35.0,73.2,,2021,0.35294117647058826
Alcorn St.,SWAC,91.1,109.5,0.1083,44.4,55.4,20.2,21.9,29.3,30.5,34.0,50.1,44.0,57.7,30.1,34.6,69.6,,2021,0.3157894736842105
South Carolina,SEC,103.4,99.6,0.6075,46.7,53.2,19.8,22.0,32.2,31.3,27.9,39.0,47.2,52.0,30.5,36.8,74.5,,2021,0.2857142857142857
Portland,WCC,97.6,112.2,0.1678,46.3,58.9,19.0,17.9,17.8,30.8,33.9,23.3,43.6,60.6,33.8,37.6,71.3,,2021,0.3333333333333333
Wake Forest,ACC,102.0,100.7,0.5386,49.0,54.5,20.0,17.9,26.2,25.9,28.5,32.1,45.9,52.8,35.1,38.3,66.8,,2021,0.2857142857142857
Northern Arizona,BSky,96.7,112.6,0.1468,48.0,58.2,17.9,18.4,23.8,27.9,30.4,33.2,45.8,60.4,35.0,37.0,64.2,,2021,0.2727272727272727
New Mexico,MWC,93.3,102.7,0.2493,43.9,53.1,21.7,19.8,31.3,30.6,32.9,35.7,45.5,53.6,26.8,34.9,67.4,,2021,0.3
St. Francis PA,NEC,94.7,107.2,0.1941,47.9,51.5,20.2,18.6,28.8,28.6,33.7,29.4,48.6,54.3,30.9,31.3,68.9,,2021,0.2727272727272727
Rider,MAAC,99.8,111.9,0.2112,48.3,53.3,18.3,17.2,26.2,26.7,29.0,36.0,46.2,53.6,35.3,35.3,67.9,,2021,0.2608695652173913
Houston Baptist,Slnd,91.2,111.9,0.0872,48.7,54.1,22.6,18.6,25.7,31.2,28.1,28.2,47.9,55.7,33.3,34.3,72.7,,2021,0.25
Canisius,MAAC,98.5,106.8,0.2835,47.0,50.5,16.8,20.2,26.6,26.8,31.6,31.6,48.8,50.3,29.7,34.1,70.8,,2021,0.5384615384615384
Delaware,CAA,98.0,100.8,0.4194,49.5,48.1,21.0,17.2,27.9,26.2,38.8,32.4,51.0,46.7,31.4,34.0,66.9,,2021,0.5
Albany,AE,98.6,103.2,0.3708,50.5,51.3,18.0,20.9,22.3,27.3,34.1,29.3,50.5,51.1,33.7,34.5,69.5,,2021,0.4375
UC San Diego,BW,100.7,109.2,0.2837,55.0,54.5,19.6,18.4,16.7,31.7,20.8,22.4,54.6,53.3,37.0,38.0,69.2,,2021,0.5
UNC Wilmington,CAA,101.6,109.8,0.2909,48.6,51.6,16.1,18.9,26.5,31.5,37.1,31.7,47.2,53.9,34.0,30.9,69.9,,2021,0.4375
